"HY" "CFS" "Month" "Day" "Year" "YMD"
"1" "HY1912" 184 "10" "01" "1912" 1912-10-01
"2" "HY1912" 190 "10" "02" "1912" 1912-10-02
"3" "HY1912" 202 "10" "03" "1912" 1912-10-03
"4" "HY1912" 190 "10" "04" "1912" 1912-10-04
"5" "HY1912" 190 "10" "05" "1912" 1912-10-05
"6" "HY1912" 187 "10" "06" "1912" 1912-10-06
"7" "HY1912" 178 "10" "07" "1912" 1912-10-07
"8" "HY1912" 175 "10" "08" "1912" 1912-10-08
"9" "HY1912" 233 "10" "09" "1912" 1912-10-09
"10" "HY1912" 236 "10" "10" "1912" 1912-10-10
"11" "HY1912" 216 "10" "11" "1912" 1912-10-11
"12" "HY1912" 208 "10" "12" "1912" 1912-10-12
"13" "HY1912" 208 "10" "13" "1912" 1912-10-13
"14" "HY1912" 279 "10" "14" "1912" 1912-10-14
"15" "HY1912" 244 "10" "15" "1912" 1912-10-15
"16" "HY1912" 212 "10" "16" "1912" 1912-10-16
"17" "HY1912" 212 "10" "17" "1912" 1912-10-17
"18" "HY1912" 205 "10" "18" "1912" 1912-10-18
"19" "HY1912" 208 "10" "19" "1912" 1912-10-19
"20" "HY1912" 190 "10" "20" "1912" 1912-10-20
"21" "HY1912" 181 "10" "21" "1912" 1912-10-21
"22" "HY1912" 178 "10" "22" "1912" 1912-10-22
"23" "HY1912" 187 "10" "23" "1912" 1912-10-23
"24" "HY1912" 187 "10" "24" "1912" 1912-10-24
"25" "HY1912" 193 "10" "25" "1912" 1912-10-25
"26" "HY1912" 199 "10" "26" "1912" 1912-10-26
"27" "HY1912" 236 "10" "27" "1912" 1912-10-27
"28" "HY1912" 244 "10" "28" "1912" 1912-10-28
"29" "HY1912" 233 "10" "29" "1912" 1912-10-29
"30" "HY1912" 212 "10" "30" "1912" 1912-10-30
"31" "HY1912" 196 "10" "31" "1912" 1912-10-31
"32" "HY1912" 196 "11" "01" "1912" 1912-11-01
"33" "HY1912" 196 "11" "02" "1912" 1912-11-02
"34" "HY1912" 190 "11" "03" "1912" 1912-11-03
"35" "HY1912" 193 "11" "04" "1912" 1912-11-04
"36" "HY1912" 190 "11" "05" "1912" 1912-11-05
"37" "HY1912" 187 "11" "06" "1912" 1912-11-06
"38" "HY1912" 202 "11" "07" "1912" 1912-11-07
"39" "HY1912" 202 "11" "08" "1912" 1912-11-08
"40" "HY1912" 205 "11" "09" "1912" 1912-11-09
"41" "HY1912" 202 "11" "10" "1912" 1912-11-10
"42" "HY1912" 236 "11" "11" "1912" 1912-11-11
"43" "HY1912" 212 "11" "12" "1912" 1912-11-12
"44" "HY1912" 216 "11" "13" "1912" 1912-11-13
"45" "HY1912" 222 "11" "14" "1912" 1912-11-14
"46" "HY1912" 216 "11" "15" "1912" 1912-11-15
"47" "HY1912" 324 "11" "16" "1912" 1912-11-16
"48" "HY1912" 315 "11" "17" "1912" 1912-11-17
"49" "HY1912" 222 "11" "18" "1912" 1912-11-18
"50" "HY1912" 233 "11" "19" "1912" 1912-11-19
"51" "HY1912" 236 "11" "20" "1912" 1912-11-20
"52" "HY1912" 240 "11" "21" "1912" 1912-11-21
"53" "HY1912" 233 "11" "22" "1912" 1912-11-22
"54" "HY1912" 230 "11" "23" "1912" 1912-11-23
"55" "HY1912" 236 "11" "24" "1912" 1912-11-24
