	HY	CFS	Month	Day	Year	YMD
1	HY1912	184	10	1	1912	10/1/1912
2	HY1912	190	10	2	1912	10/2/1912
3	HY1912	202	10	3	1912	10/3/1912
4	HY1912	190	10	4	1912	10/4/1912
5	HY1912	190	10	5	1912	10/5/1912
6	HY1912	187	10	6	1912	10/6/1912
7	HY1912	178	10	7	1912	10/7/1912
8	HY1912	175	10	8	1912	10/8/1912
9	HY1912	233	10	9	1912	10/9/1912
10	HY1912	236	10	10	1912	10/10/1912
11	HY1912	216	10	11	1912	10/11/1912
12	HY1912	208	10	12	1912	10/12/1912
13	HY1912	208	10	13	1912	10/13/1912
14	HY1912	279	10	14	1912	10/14/1912
15	HY1912	244	10	15	1912	10/15/1912
16	HY1912	212	10	16	1912	10/16/1912
17	HY1912	212	10	17	1912	10/17/1912
18	HY1912	205	10	18	1912	10/18/1912
19	HY1912	208	10	19	1912	10/19/1912
20	HY1912	190	10	20	1912	10/20/1912
21	HY1912	181	10	21	1912	10/21/1912
22	HY1912	178	10	22	1912	10/22/1912
23	HY1912	187	10	23	1912	10/23/1912
24	HY1912	187	10	24	1912	10/24/1912
25	HY1912	193	10	25	1912	10/25/1912
26	HY1912	199	10	26	1912	10/26/1912
27	HY1912	236	10	27	1912	10/27/1912
28	HY1912	244	10	28	1912	10/28/1912
29	HY1912	233	10	29	1912	10/29/1912
30	HY1912	212	10	30	1912	10/30/1912
31	HY1912	196	10	31	1912	10/31/1912
32	HY1912	196	11	1	1912	11/1/1912
33	HY1912	196	11	2	1912	11/2/1912
34	HY1912	190	11	3	1912	11/3/1912
35	HY1912	193	11	4	1912	11/4/1912
36	HY1912	190	11	5	1912	11/5/1912
37	HY1912	187	11	6	1912	11/6/1912
38	HY1912	202	11	7	1912	11/7/1912
39	HY1912	202	11	8	1912	11/8/1912
40	HY1912	205	11	9	1912	11/9/1912
41	HY1912	202	11	10	1912	11/10/1912
42	HY1912	236	11	11	1912	11/11/1912
43	HY1912	212	11	12	1912	11/12/1912
44	HY1912	216	11	13	1912	11/13/1912
45	HY1912	222	11	14	1912	11/14/1912
46	HY1912	216	11	15	1912	11/15/1912
47	HY1912	324	11	16	1912	11/16/1912
48	HY1912	315	11	17	1912	11/17/1912
49	HY1912	222	11	18	1912	11/18/1912
50	HY1912	233	11	19	1912	11/19/1912
51	HY1912	236	11	20	1912	11/20/1912
52	HY1912	240	11	21	1912	11/21/1912
53	HY1912	233	11	22	1912	11/22/1912
54	HY1912	230	11	23	1912	11/23/1912
55	HY1912	236	11	24	1912	11/24/1912
56	HY1912	233	11	25	1912	11/25/1912
57	HY1912	236	11	26	1912	11/26/1912
58	HY1912	233	11	27	1912	11/27/1912
59	HY1912	219	11	28	1912	11/28/1912
60	HY1912	219	11	29	1912	11/29/1912
61	HY1912	199	11	30	1912	11/30/1912
62	HY1912	187	12	1	1912	12/1/1912
63	HY1912	187	12	2	1912	12/2/1912
64	HY1912	199	12	3	1912	12/3/1912
65	HY1912	202	12	4	1912	12/4/1912
66	HY1912	199	12	5	1912	12/5/1912
67	HY1912	268	12	6	1912	12/6/1912
68	HY1912	307	12	7	1912	12/7/1912
69	HY1912	279	12	8	1912	12/8/1912
70	HY1912	247	12	9	1912	12/9/1912
71	HY1912	258	12	10	1912	12/10/1912
72	HY1912	236	12	11	1912	12/11/1912
73	HY1912	216	12	12	1912	12/12/1912
74	HY1912	208	12	13	1912	12/13/1912
75	HY1912	202	12	14	1912	12/14/1912
76	HY1912	208	12	15	1912	12/15/1912
77	HY1912	216	12	16	1912	12/16/1912
78	HY1912	236	12	17	1912	12/17/1912
79	HY1912	226	12	18	1912	12/18/1912
80	HY1912	219	12	19	1912	12/19/1912
81	HY1912	216	12	20	1912	12/20/1912
82	HY1912	216	12	21	1912	12/21/1912
83	HY1912	202	12	22	1912	12/22/1912
84	HY1912	208	12	23	1912	12/23/1912
85	HY1912	208	12	24	1912	12/24/1912
86	HY1912	202	12	25	1912	12/25/1912
87	HY1912	205	12	26	1912	12/26/1912
88	HY1912	205	12	27	1912	12/27/1912
89	HY1912	222	12	28	1912	12/28/1912
90	HY1912	254	12	29	1912	12/29/1912
91	HY1912	279	12	30	1912	12/30/1912
92	HY1912	295	12	31	1912	12/31/1912
93	HY1912	240	1	1	1912	1/1/1912
94	HY1912	261	1	2	1912	1/2/1912
95	HY1912	205	1	3	1912	1/3/1912
96	HY1912	240	1	4	1912	1/4/1912
97	HY1912	261	1	5	1912	1/5/1912
98	HY1912	268	1	6	1912	1/6/1912
99	HY1912	258	1	7	1912	1/7/1912
100	HY1912	356	1	8	1912	1/8/1912
101	HY1912	380	1	9	1912	1/9/1912
102	HY1912	410	1	10	1912	1/10/1912
103	HY1912	405	1	11	1912	1/11/1912
104	HY1912	400	1	12	1912	1/12/1912
105	HY1912	1140	1	13	1912	1/13/1912
106	HY1912	905	1	14	1912	1/14/1912
107	HY1912	668	1	15	1912	1/15/1912
108	HY1912	1180	1	16	1912	1/16/1912
109	HY1912	835	1	17	1912	1/17/1912
110	HY1912	870	1	18	1912	1/18/1912
111	HY1912	800	1	19	1912	1/19/1912
112	HY1912	700	1	20	1912	1/20/1912
113	HY1912	700	1	21	1912	1/21/1912
114	HY1912	765	1	22	1912	1/22/1912
115	HY1912	800	1	23	1912	1/23/1912
116	HY1912	1300	1	24	1912	1/24/1912
117	HY1912	9960	1	25	1912	1/25/1912
118	HY1912	6680	1	26	1912	1/26/1912
119	HY1912	3660	1	27	1912	1/27/1912
120	HY1912	2110	1	28	1912	1/28/1912
121	HY1912	2000	1	29	1912	1/29/1912
122	HY1912	1440	1	30	1912	1/30/1912
123	HY1912	1060	1	31	1912	1/31/1912
124	HY1912	765	2	1	1912	2/1/1912
125	HY1912	765	2	2	1912	2/2/1912
126	HY1912	732	2	3	1912	2/3/1912
127	HY1912	732	2	4	1912	2/4/1912
128	HY1912	800	2	5	1912	2/5/1912
129	HY1912	870	2	6	1912	2/6/1912
130	HY1912	942	2	7	1912	2/7/1912
131	HY1912	1390	2	8	1912	2/8/1912
132	HY1912	1440	2	9	1912	2/9/1912
133	HY1912	1780	2	10	1912	2/10/1912
134	HY1912	1780	2	11	1912	2/11/1912
135	HY1912	1440	2	12	1912	2/12/1912
136	HY1912	1780	2	13	1912	2/13/1912
137	HY1912	1390	2	14	1912	2/14/1912
138	HY1912	1140	2	15	1912	2/15/1912
139	HY1912	1220	2	16	1912	2/16/1912
140	HY1912	3660	2	17	1912	2/17/1912
141	HY1912	5000	2	18	1912	2/18/1912
142	HY1912	4090	2	19	1912	2/19/1912
