10/1/1911	9/30/1912	HY1912
10/1/1912	9/30/1913	HY1913
10/1/1913	9/30/1914	HY1914
10/1/1914	9/30/1915	HY1915
10/1/1915	9/30/1916	HY1916
10/1/1916	9/30/1917	HY1917
10/1/1917	9/30/1918	HY1918
10/1/1918	9/30/1919	HY1919
10/1/1919	9/30/1920	HY1920
10/1/1920	9/30/1921	HY1921
10/1/1921	9/30/1922	HY1922
10/1/1922	9/30/1923	HY1923
10/1/1923	9/30/1924	HY1924
10/1/1924	9/30/1925	HY1925
10/1/1925	9/30/1926	HY1926
10/1/1926	9/30/1927	HY1927
10/1/1927	9/30/1928	HY1928
10/1/1928	9/30/1929	HY1929
10/1/1929	9/30/1930	HY1930
10/1/1930	9/30/1931	HY1931
10/1/1931	9/30/1932	HY1932
10/1/1932	9/30/1933	HY1933
10/1/1933	9/30/1934	HY1934
10/1/1934	9/30/1935	HY1935
10/1/1935	9/30/1936	HY1936
10/1/1936	9/30/1937	HY1937
10/1/1937	9/30/1938	HY1938
10/1/1938	9/30/1939	HY1939
10/1/1939	9/30/1940	HY1940
10/1/1940	9/30/1941	HY1941
10/1/1941	9/30/1942	HY1942
10/1/1942	9/30/1943	HY1943
10/1/1943	9/30/1944	HY1944
10/1/1944	9/30/1945	HY1945
10/1/1945	9/30/1946	HY1946
10/1/1946	9/30/1947	HY1947
10/1/1947	9/30/1948	HY1948
10/1/1948	9/30/1949	HY1949
10/1/1949	9/30/1950	HY1950
10/1/1950	9/30/1951	HY1951
10/1/1951	9/30/1952	HY1952
10/1/1952	9/30/1953	HY1953
10/1/1953	9/30/1954	HY1954
10/1/1954	9/30/1955	HY1955
10/1/1955	9/30/1956	HY1956
10/1/1956	9/30/1957	HY1957
10/1/1957	9/30/1958	HY1958
10/1/1958	9/30/1959	HY1959
10/1/1959	9/30/1960	HY1960
10/1/1960	9/30/1961	HY1961
10/1/1961	9/30/1962	HY1962
10/1/1962	9/30/1963	HY1963
10/1/1963	9/30/1964	HY1964
10/1/1964	9/30/1965	HY1965
10/1/1965	9/30/1966	HY1966
10/1/1966	9/30/1967	HY1967
10/1/1967	9/30/1968	HY1968
10/1/1968	9/30/1969	HY1969
10/1/1969	9/30/1970	HY1970
10/1/1970	9/30/1971	HY1971
10/1/1971	9/30/1972	HY1972
10/1/1972	9/30/1973	HY1973
10/1/1973	9/30/1974	HY1974
10/1/1974	9/30/1975	HY1975
10/1/1975	9/30/1976	HY1976
10/1/1976	9/30/1977	HY1977
10/1/1977	9/30/1978	HY1978
10/1/1978	9/30/1979	HY1979
10/1/1979	9/30/1980	HY1980
10/1/1980	9/30/1981	HY1981
10/1/1981	9/30/1982	HY1982
10/1/1982	9/30/1983	HY1983
10/1/1983	9/30/1984	HY1984
10/1/1984	9/30/1985	HY1985
10/1/1985	9/30/1986	HY1986
10/1/1986	9/30/1987	HY1987
10/1/1987	9/30/1988	HY1988
10/1/1988	9/30/1989	HY1989
10/1/1989	9/30/1990	HY1990
10/1/1990	9/30/1991	HY1991
10/1/1991	9/30/1992	HY1992
10/1/1992	9/30/1993	HY1993
10/1/1993	9/30/1994	HY1994
10/1/1994	9/30/1995	HY1995
10/1/1995	9/30/1996	HY1996
10/1/1996	9/30/1997	HY1997
10/1/1997	9/30/1998	HY1998
10/1/1998	9/30/1999	HY1999
10/1/1999	9/30/2000	HY2000
10/1/2000	9/30/2001	HY2001
10/1/2001	9/30/2002	HY2002
10/1/2002	9/30/2003	HY2003
10/1/2003	9/30/2004	HY2004
10/1/2004	9/30/2005	HY2005
10/1/2005	9/30/2006	HY2006
10/1/2006	9/30/2007	HY2007
10/1/2007	9/30/2008	HY2008
10/1/2008	9/30/2009	HY2009
10/1/2009	9/30/2010	HY2010
10/1/2010	9/30/2011	HY2011
10/1/2011	9/30/2012	HY2012
10/1/2012	9/30/2013	HY2013
10/1/2013	9/30/2014	HY2014
10/1/2014	9/30/2015	HY2015
10/1/2015	9/30/2016	HY2016
10/1/2016	9/30/2017	HY2017
10/1/2017	9/30/2018	HY2018
10/1/2018	9/30/2019	HY2019
10/1/2019	9/30/2020	HY2020
10/1/2020	9/30/2021	HY2021
10/1/2021	9/30/2022	HY2022
10/1/2022	9/30/2023	HY2023
10/1/2023	9/30/2024	HY2024
10/1/2024	9/30/2025	HY2025
10/1/2025	9/30/2026	HY2026
10/1/2026	9/30/2027	HY2027
10/1/2027	9/30/2028	HY2028
10/1/2028	9/30/2029	HY2029
10/1/2029	9/30/2030	HY2030
10/1/2030	9/30/2031	HY2031
