Stage (ft),Shift (ft),Flow (cfs)
171.56,-0.1,13.21
174.84,-0.1,13.22
178.14,-0.1,13.23
181.48,-0.1,13.24
184.85,-0.1,13.25
188.24,-0.1,13.26
191.67,-0.1,13.27
195.12,-0.1,13.28
198.61,-0.1,13.29
202.12,-0.1,13.3
205.67,-0.1,13.31
209.24,-0.1,13.32
212.84,-0.1,13.33
216.48,-0.1,13.34
220.14,-0.1,13.35
223.83,-0.1,13.36
227.55,-0.1,13.37
231.3,-0.1,13.38
235.08,-0.1,13.39
238.89,-0.1,13.4
242.73,-0.1,13.41
246.6,-0.1,13.42
250.49,-0.1,13.43
254.42,-0.1,13.44
261.69,-0.09,13.45
269.07,-0.08,13.46
276.54,-0.07,13.47
284.1,-0.07,13.48
291.77,-0.06,13.49
299.53,-0.05,13.5
307.4,-0.04,13.51
315.35,-0.03,13.52
323.41,-0.03,13.53
331.57,-0.02,13.54
339.82,-0.01,13.55
348.17,0,13.56
352.76,0,13.57
357.38,0,13.58
362.04,0,13.59
366.72,0,13.6
371.43,0,13.61
376.17,0,13.62
380.93,0,13.63
385.73,0,13.64
390.56,0,13.65
395.41,0,13.66
400.29,0,13.67
405.2,0,13.68
410.14,0,13.69
415.11,0,13.7
420.11,0,13.71
425.14,0,13.72
430.19,0,13.73
435.27,0,13.74
440.39,0,13.75
445.53,0,13.76
450.7,0,13.77
455.89,0,13.78
461.12,0,13.79
466.37,0,13.8
471.66,0,13.81
476.97,0,13.82
482.31,0,13.83
487.68,0,13.84
493.08,0,13.85
498.5,0,13.86
503.96,0,13.87
509.44,0,13.88
514.95,0,13.89
520.49,0,13.9
526.06,0,13.91
531.66,0,13.92
537.28,0,13.93
542.93,0,13.94
548.62,0,13.95
554.33,0,13.96
560.06,0,13.97
565.83,0,13.98
571.62,0,13.99
577.45,0,14
583.3,0,14.01
589.18,0,14.02
595.09,0,14.03
601.02,0,14.04
606.99,0,14.05
612.98,0,14.06
619,0,14.07
625.05,0,14.08
631.13,0,14.09
637.23,0,14.1
643.37,0,14.11
649.53,0,14.12
655.72,0,14.13
661.94,0,14.14
668.18,0,14.15
674.46,0,14.16
680.76,0,14.17
687.09,0,14.18
693.45,0,14.19
699.84,0,14.2
706.25,0,14.21
712.69,0,14.22
719.17,0,14.23
725.66,0,14.24
732.19,0,14.25
738.75,0,14.26
745.33,0,14.27
751.94,0,14.28
758.58,0,14.29
765.25,0,14.3
771.94,0,14.31
778.66,0,14.32
785.41,0,14.33
792.19,0,14.34
799,0,14.35
805.83,0,14.36
812.7,0,14.37
819.59,0,14.38
826.51,0,14.39
833.45,0,14.4
840.42,0,14.41
847.43,0,14.42
854.46,0,14.43
861.51,0,14.44
868.6,0,14.45
875.71,0,14.46
882.85,0,14.47
890.02,0,14.48
897.22,0,14.49
904.44,0,14.5
911.69,0,14.51
918.97,0,14.52
926.28,0,14.53
933.62,0,14.54
940.98,0,14.55
948.37,0,14.56
955.79,0,14.57
963.23,0,14.58
970.71,0,14.59
978.21,0,14.6
985.74,0,14.61
993.3,0,14.62
1000.88,0,14.63
1008.49,0,14.64
1016.13,0,14.65
1023.8,0,14.66
1031.5,0,14.67
1039.22,0,14.68
1046.97,0,14.69
1054.75,0,14.7
1062.55,0,14.71
1070.38,0,14.72
1078.24,0,14.73
1086.13,0,14.74
1094.05,0,14.75
1101.99,0,14.76
1109.96,0,14.77
1117.96,0,14.78
1125.99,0,14.79
1134.04,0,14.8
1142.12,0,14.81
1150.23,0,14.82
1158.37,0,14.83
1166.53,0,14.84
1174.72,0,14.85
1182.94,0,14.86
1191.18,0,14.87
1199.46,0,14.88
1207.76,0,14.89
1216.09,0,14.9
1224.44,0,14.91
1232.82,0,14.92
1241.24,0,14.93
1249.67,0,14.94
1258.14,0,14.95
1266.63,0,14.96
1275.15,0,14.97
1283.7,0,14.98
1292.27,0,14.99
1300.87,0,15
1309.5,0,15.01
1318.16,0,15.02
1326.84,0,15.03
1335.56,0,15.04
1344.3,0,15.05
1353.06,0,15.06
1361.85,0,15.07
1370.68,0,15.08
1379.52,0,15.09
1388.4,0,15.1
1397.3,0,15.11
1406.23,0,15.12
1415.19,0,15.13
1424.17,0,15.14
1433.18,0,15.15
1442.22,0,15.16
1451.29,0,15.17
1460.38,0,15.18
1469.5,0,15.19
1478.65,0,15.2
1487.83,0,15.21
1497.03,0,15.22
1506.26,0,15.23
1515.51,0,15.24
1524.8,0,15.25
1534.11,0,15.26
1543.45,0,15.27
1552.81,0,15.28
1562.2,0,15.29
1571.62,0,15.3
1581.07,0,15.31
1590.54,0,15.32
1600.04,0,15.33
1609.57,0,15.34
1619.13,0,15.35
1628.71,0,15.36
1638.32,0,15.37
1647.96,0,15.38
1657.62,0,15.39
1667.31,0,15.4
1677.03,0,15.41
1686.77,0,15.42
1696.54,0,15.43
1706.34,0,15.44
1716.17,0,15.45
1726.02,0,15.46
1735.9,0,15.47
1745.81,0,15.48
1755.74,0,15.49
1765.7,0,15.5
1775.69,0,15.51
1785.71,0,15.52
1795.75,0,15.53
1805.82,0,15.54
1815.91,0,15.55
1826.04,0,15.56
1836.19,0,15.57
1846.36,0,15.58
1856.57,0,15.59
1866.8,0,15.6
1877.06,0,15.61
1887.34,0,15.62
1897.65,0,15.63
1907.99,0,15.64
1918.36,0,15.65
1928.75,0,15.66
1939.17,0,15.67
1949.62,0,15.68
1960.09,0,15.69
1970.59,0,15.7
1981.12,0,15.71
1991.67,0,15.72
2002.25,0,15.73
2012.86,0,15.74
2023.49,0,15.75
2034.15,0,15.76
2044.84,0,15.77
2055.56,0,15.78
2066.3,0,15.79
2077.07,0,15.8
2087.86,0,15.81
2098.69,0,15.82
2109.54,0,15.83
2120.41,0,15.84
2131.31,0,15.85
2142.24,0,15.86
2153.2,0,15.87
2164.18,0,15.88
2175.19,0,15.89
2186.23,0,15.9
2197.29,0,15.91
2208.38,0,15.92
2219.5,0,15.93
2230.64,0,15.94
2241.82,0,15.95
2253.01,0,15.96
2264.24,0,15.97
2275.49,0,15.98
2286.76,0,15.99
2298.07,0,16
2309.4,0,16.01
2320.76,0,16.02
2332.14,0,16.03
2343.55,0,16.04
2354.99,0,16.05
2366.46,0,16.06
2377.95,0,16.07
2389.46,0,16.08
2401.01,0,16.09
2412.58,0,16.1
2424.18,0,16.11
2435.8,0,16.12
2447.45,0,16.13
2459.13,0,16.14
2470.84,0,16.15
2482.57,0,16.16
2494.32,0,16.17
2506.11,0,16.18
2517.92,0,16.19
2529.76,0,16.2
2541.62,0,16.21
2553.51,0,16.22
2565.43,0,16.23
2577.37,0,16.24
2589.34,0,16.25
2601.34,0,16.26
2613.37,0,16.27
2625.42,0,16.28
2637.49,0,16.29
2649.6,0,16.3
2661.73,0,16.31
2673.88,0,16.32
2686.07,0,16.33
2698.28,0,16.34
2710.51,0,16.35
2722.77,0,16.36
2735.06,0,16.37
2747.38,0,16.38
2759.72,0,16.39
2772.09,0,16.4
2784.49,0,16.41
2796.91,0,16.42
2809.36,0,16.43
2821.83,0,16.44
2834.33,0,16.45
2846.86,0,16.46
2859.41,0,16.47
2872,0,16.48
2884.6,0,16.49
2897.24,0,16.5
2909.9,0,16.51
2922.58,0,16.52
2935.3,0,16.53
2948.04,0,16.54
2960.8,0,16.55
2973.59,0,16.56
2986.41,0,16.57
2999.26,0,16.58
3012.13,0,16.59
3025.03,0,16.6
3037.95,0,16.61
3050.9,0,16.62
3063.88,0,16.63
3076.89,0,16.64
3089.92,0,16.65
3102.97,0,16.66
3116.05,0,16.67
3129.16,0,16.68
3142.3,0,16.69
3155.46,0,16.7
3168.65,0,16.71
3181.87,0,16.72
3195.11,0,16.73
3208.37,0,16.74
3221.67,0,16.75
3234.99,0,16.76
3248.33,0,16.77
3261.71,0,16.78
3275.11,0,16.79
3288.53,0,16.8
3301.98,0,16.81
3315.46,0,16.82
3328.97,0,16.83
3342.5,0,16.84
3356.06,0,16.85
