AGENCY	Site	Date	Q	Status
USGS	11523200	1957-10-01	79.0	A
USGS	11523200	1957-10-02	67.0	A
USGS	11523200	1957-10-03	69.0	A
USGS	11523200	1957-10-04	71.0	A
USGS	11523200	1957-10-05	85.0	A
USGS	11523200	1957-10-06	101	A
USGS	11523200	1957-10-07	110	A
USGS	11523200	1957-10-08	103	A
USGS	11523200	1957-10-09	1050	A
USGS	11523200	1957-10-10	1710	A
USGS	11523200	1957-10-11	987	A
USGS	11523200	1957-10-12	601	A
USGS	11523200	1957-10-13	834	A
USGS	11523200	1957-10-14	537	A
USGS	11523200	1957-10-15	395	A
USGS	11523200	1957-10-16	307	A
USGS	11523200	1957-10-17	264	A
USGS	11523200	1957-10-18	232	A
USGS	11523200	1957-10-19	211	A
USGS	11523200	1957-10-20	194	A
USGS	11523200	1957-10-21	178	A
USGS	11523200	1957-10-22	166	A
USGS	11523200	1957-10-23	905	A
USGS	11523200	1957-10-24	845	A
USGS	11523200	1957-10-25	606	A
USGS	11523200	1957-10-26	476	A
USGS	11523200	1957-10-27	399	A
USGS	11523200	1957-10-28	330	A
USGS	11523200	1957-10-29	291	A
USGS	11523200	1957-10-30	264	A
USGS	11523200	1957-10-31	245	A
USGS	11523200	1957-11-01	225	A
USGS	11523200	1957-11-02	209	A
USGS	11523200	1957-11-03	197	A
USGS	11523200	1957-11-04	190	A
USGS	11523200	1957-11-05	178	A
USGS	11523200	1957-11-06	183	A
USGS	11523200	1957-11-07	161	A
USGS	11523200	1957-11-08	161	A
USGS	11523200	1957-11-09	159	A
USGS	11523200	1957-11-10	185	A
USGS	11523200	1957-11-11	176	A
USGS	11523200	1957-11-12	173	A
USGS	11523200	1957-11-13	1550	A
USGS	11523200	1957-11-14	1490	A
USGS	11523200	1957-11-15	771	A
USGS	11523200	1957-11-16	563	A
USGS	11523200	1957-11-17	452	A
USGS	11523200	1957-11-18	399	A
USGS	11523200	1957-11-19	362	A
USGS	11523200	1957-11-20	334	A
USGS	11523200	1957-11-21	310	A
USGS	11523200	1957-11-22	285	A
USGS	11523200	1957-11-23	272	A
USGS	11523200	1957-11-24	269	A
USGS	11523200	1957-11-25	264	A
USGS	11523200	1957-11-26	253	A
USGS	11523200	1957-11-27	237	A
USGS	11523200	1957-11-28	223	A
USGS	11523200	1957-11-29	211	A
USGS	11523200	1957-11-30	204	A
USGS	11523200	1957-12-01	197	A
USGS	11523200	1957-12-02	185	A
USGS	11523200	1957-12-03	180	A
USGS	11523200	1957-12-04	176	A
USGS	11523200	1957-12-05	178	A
USGS	11523200	1957-12-06	171	A
USGS	11523200	1957-12-07	166	A
USGS	11523200	1957-12-08	159	A
USGS	11523200	1957-12-09	152	A
USGS	11523200	1957-12-10	150	A
USGS	11523200	1957-12-11	147	A
USGS	11523200	1957-12-12	143	A
USGS	11523200	1957-12-13	140	A
USGS	11523200	1957-12-14	138	A
USGS	11523200	1957-12-15	183	A
USGS	11523200	1957-12-16	631	A
USGS	11523200	1957-12-17	558	A
USGS	11523200	1957-12-18	509	A
USGS	11523200	1957-12-19	415	A
USGS	11523200	1957-12-20	436	A
USGS	11523200	1957-12-21	1400	A
USGS	11523200	1957-12-22	813	A
USGS	11523200	1957-12-23	558	A
USGS	11523200	1957-12-24	448	A
USGS	11523200	1957-12-25	387	A
USGS	11523200	1957-12-26	399	A
USGS	11523200	1957-12-27	366	A
USGS	11523200	1957-12-28	354	A
USGS	11523200	1957-12-29	318	A
USGS	11523200	1957-12-30	296	A
USGS	11523200	1957-12-31	288	A
USGS	11523200	1958-01-01	288	A
USGS	11523200	1958-01-02	312	A
