Water Year,Volume,Year Type
1912, 1027511 ,Normal
1913, 1071865 ,Normal
1914, 2024558 ,Ex.Wet
1915, 2150494 ,Ex.Wet
1916, 1503602 ,Wet
1917, 651313 ,Dry
1918, 601288 ,Crit.Dry
1919, 1149087 ,Normal
1920, 407633 ,Crit.Dry
1921, 1791833 ,Wet
1922, 781977 ,Dry
1923, 684825 ,Dry
1924, 265845 ,Crit.Dry
1925, 1496609 ,Wet
1926, 807480 ,Dry
1927, 1822986 ,Wet
1928, 1055916 ,Normal
1929, 527672 ,Crit.Dry
1930, 812950 ,Dry
1931, 401451 ,Crit.Dry
1932, 719494 ,Dry
1933, 802219 ,Dry
1934, 681825 ,Dry
1935, 963912 ,Dry
1936, 1022910 ,Dry
1937, 997581 ,Dry
1938, 2101047 ,Ex.Wet
1939, 572303 ,Crit.Dry
1940, 1609890 ,Wet
1941, 2542857 ,Ex.Wet
1942, 1800895 ,Wet
1943, 1105816 ,Normal
1944, 652927 ,Dry
1945, 1046384 ,Normal
1946, 1412265 ,Wet
1947, 731036 ,Dry
1948, 1203242 ,Normal
1949, 1088454 ,Normal
1950, 852146 ,Dry
1951, 1607095 ,Wet
1952, 1814258 ,Wet
1953, 1609623 ,Wet
1954, 1592407 ,Wet
1955, 733537 ,Dry
1956, 2023574 ,Ex.Wet
1957, 1081270 ,Normal
1958, 2688907 ,Ex.Wet
1959, 1040046 ,Normal
1960, 1023314 ,Dry
